
2023/04/26 (11:45:59) | ERROR: Invalid hex value:  Main text color

2023/04/26 (11:50:08) | ===> btop++ v.1.2.13
2023/04/26 (11:50:08) | ERROR: Invalid hex value:  Main text color

2023/04/26 (12:00:17) | ===> btop++ v.1.2.13
2023/04/26 (12:00:17) | ERROR: Invalid hex value:  Main text color

2023/04/26 (12:01:28) | ===> btop++ v.1.2.13
2023/04/26 (12:01:28) | ERROR: Invalid hex value:  Main text color

2023/04/26 (12:04:47) | ===> btop++ v.1.2.13
2023/04/26 (12:04:47) | ERROR: Invalid hex value:  Main text color

2023/04/26 (12:08:31) | ===> btop++ v.1.2.13
2023/04/26 (12:08:31) | ERROR: Invalid hex value:  Main text color

2023/04/26 (14:41:12) | ===> btop++ v.1.2.13
2023/04/26 (14:41:12) | ERROR: Invalid hex value:  Main text color

2023/04/27 (07:59:08) | ===> btop++ v.1.2.13
2023/04/27 (07:59:08) | ERROR: Invalid hex value:  Main text color

2023/04/27 (17:53:43) | ===> btop++ v.1.2.13
2023/04/27 (17:53:43) | ERROR: Invalid hex value:  Main text color

2023/04/28 (19:25:28) | ===> btop++ v.1.2.13
2023/04/28 (19:25:28) | ERROR: Invalid hex value:  Main text color

2023/04/29 (08:56:38) | ===> btop++ v.1.2.13
2023/04/29 (08:56:38) | ERROR: Invalid hex value:  Main text color

2023/04/29 (21:33:34) | ===> btop++ v.1.2.13
2023/04/29 (21:33:34) | ERROR: Invalid hex value:  Main text color

2023/04/29 (21:35:55) | ===> btop++ v.1.2.13
2023/04/29 (21:35:55) | ERROR: Invalid hex value:  Main text color

2023/04/30 (10:18:59) | ===> btop++ v.1.2.13
2023/04/30 (10:18:59) | ERROR: Invalid hex value:  Main text color

2023/04/30 (12:48:08) | ===> btop++ v.1.2.13
2023/04/30 (12:48:08) | ERROR: Invalid hex value:  Main text color

2023/04/30 (12:49:23) | ===> btop++ v.1.2.13
2023/04/30 (12:49:23) | ERROR: Invalid hex value:  Main text color

2023/04/30 (14:25:16) | ===> btop++ v.1.2.13
2023/04/30 (14:25:16) | ERROR: Invalid hex value:  Main text color

2023/05/01 (09:26:31) | ===> btop++ v.1.2.13
2023/05/01 (09:26:31) | ERROR: Invalid hex value:  Main text color

2023/05/02 (11:19:29) | ===> btop++ v.1.2.13
2023/05/02 (11:19:29) | ERROR: Invalid hex value:  Main text color

2023/05/02 (17:28:05) | ===> btop++ v.1.2.13
2023/05/02 (17:28:05) | ERROR: Invalid hex value:  Main text color

2023/05/02 (21:33:45) | ===> btop++ v.1.2.13
2023/05/02 (21:33:45) | ERROR: Invalid hex value:  Main text color

2023/05/03 (08:54:34) | ===> btop++ v.1.2.13
2023/05/03 (08:54:34) | ERROR: Invalid hex value:  Main text color

2023/05/03 (09:40:47) | ===> btop++ v.1.2.13
2023/05/03 (09:40:47) | ERROR: Invalid hex value:  Main text color

2023/05/03 (10:23:40) | ===> btop++ v.1.2.13
2023/05/03 (10:23:40) | ERROR: Invalid hex value:  Main text color

2023/05/04 (09:34:44) | ===> btop++ v.1.2.13
2023/05/04 (09:34:44) | ERROR: Invalid hex value:  Main text color

2023/05/06 (17:02:14) | ===> btop++ v.1.2.13
2023/05/06 (17:02:14) | ERROR: Invalid hex value:  Main text color

2023/05/06 (17:59:38) | ===> btop++ v.1.2.13
2023/05/06 (17:59:38) | ERROR: Invalid hex value:  Main text color

2023/05/07 (10:30:41) | ===> btop++ v.1.2.13
2023/05/07 (10:30:41) | ERROR: Invalid hex value:  Main text color

2023/05/08 (00:12:13) | ===> btop++ v.1.2.13
2023/05/08 (00:12:13) | ERROR: Invalid hex value:  Main text color

2023/05/08 (00:13:23) | ===> btop++ v.1.2.13
2023/05/08 (00:13:23) | ERROR: Invalid hex value:  Main text color

2023/05/08 (00:14:25) | ===> btop++ v.1.2.13
2023/05/08 (00:14:25) | ERROR: Invalid hex value:  Main text color

2023/05/08 (00:14:36) | ===> btop++ v.1.2.13
2023/05/08 (00:14:36) | ERROR: Invalid hex value:  Main text color

2023/05/08 (00:51:39) | ===> btop++ v.1.2.13
2023/05/08 (00:51:39) | ERROR: Invalid hex value:  Main text color

2023/05/08 (00:51:50) | ===> btop++ v.1.2.13
2023/05/08 (00:51:50) | ERROR: Invalid hex value:  Main text color

2023/05/08 (08:33:27) | ===> btop++ v.1.2.13
2023/05/08 (08:33:27) | ERROR: Invalid hex value:  Main text color

2023/05/08 (14:22:19) | ===> btop++ v.1.2.13
2023/05/08 (14:22:19) | ERROR: Invalid hex value:  Main text color

2023/05/09 (13:29:51) | ===> btop++ v.1.2.13
2023/05/09 (13:29:51) | ERROR: Invalid hex value:  Main text color
2023/05/09 (15:10:30) | ERROR: Invalid hex value:  Main text color
2023/05/09 (15:10:35) | ERROR: Invalid hex value:  Main text color
2023/05/09 (15:11:51) | ERROR: Invalid hex value:  Main text color

2023/07/13 (18:01:22) | ===> btop++ v.1.2.13
2023/07/13 (18:01:23) | ERROR: Stall in Runner thread, restarting!
